[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    3.217    0.029    3.218    0.029 {select.select}
        5    0.977    0.195    0.977    0.195 {method 'decode' of 'str' objects}
       37    0.823    0.022    0.823    0.022 {method 'readline' of 'file' objects}
        4    0.180    0.045    1.980    0.495 pickle.py:961(load_string)
      100    0.050    0.001    0.050    0.001 xlib.py:351(flip)
        1    0.038    0.038    5.654    5.654 Contours:2(<module>)
      100    0.028    0.000    0.032    0.000 Contours:138(on_draw)
        1    0.028    0.028    0.028    0.028 {method '__setstate__' of 'numpy.ndarray' objects}
       10    0.017    0.002    0.017    0.002 glx_info.py:97(get_server_version)
        7    0.016    0.002    0.016    0.002 {method 'search' of '_sre.SRE_Pattern' objects}
       89    0.013    0.000    0.013    0.000 {method 'read' of 'file' objects}
     2561    0.011    0.000    0.033    0.000 lib_glx.py:63(link_GL)
     2576    0.011    0.000    0.011    0.000 __init__.py:78(CFUNCTYPE)
        5    0.007    0.001    0.044    0.009 __init__.py:1(<module>)
        1    0.007    0.007    0.154    0.154 __init__.py:92(<module>)
     3094    0.007    0.000    0.007    0.000 __init__.py:382(__getitem__)
        1    0.006    0.006    0.006    0.006 numeric.py:1(<module>)
        1    0.005    0.005    0.005    0.005 __init__.py:405(_map)
     2386    0.005    0.000    0.005    0.000 __init__.py:501(cast)
     2248    0.005    0.000    0.005    0.000 lib.py:84(errcheck)
        1    0.005    0.005    0.013    0.013 xlib.py:7(<module>)
        1    0.005    0.005    0.038    0.038 glext_arb.py:38(<module>)
      974    0.004    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.004    0.004    0.005    0.005 polynomial.py:55(<module>)
      273    0.004    0.000    0.005    0.000 function_base.py:2945(add_newdoc)
   269/60    0.004    0.000    0.009    0.000 sre_parse.py:379(_parse)
        6    0.003    0.001    0.005    0.001 zipfile.py:803(_RealGetContents)
     5496    0.003    0.000    0.003    0.000 {_ctypes.POINTER}
        2    0.003    0.002    0.003    0.002 xlib.py:360(_create_glx_context)
       10    0.003    0.000    0.004    0.000 collections.py:288(namedtuple)
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
        1    0.003    0.003    0.004    0.004 hermite_e.py:59(<module>)
      110    0.003    0.000    0.010    0.000 xlib.py:323(set_current)
     3575    0.003    0.000    0.012    0.000 {getattr}
